"timeframe","state","rps"
"2015-2016","AZ",0.000716507542862379
"2015-2016","CA",0.00139789347980453
"2015-2016","CO",0
"2015-2016","CT",0.0205673909317315
"2015-2016","DE",0
"2015-2016","IA",0
"2015-2016","IL",0.000707776577476391
"2015-2016","MA",0.00968141573987381
"2015-2016","MD",0
"2015-2016","ME",0.0114336492802683
"2015-2016","MI",0.00293782427876774
"2015-2016","MN",0
"2015-2016","MO",0
"2015-2016","NC",0
"2015-2016","NH",0.00252236569626007
"2015-2016","NJ",0
"2015-2016","NM",0.00552872916523499
"2015-2016","NV",0.00660748051968243
"2015-2016","NY",0
"2015-2016","OH",0.000945628277558027
"2015-2016","OR",0
"2015-2016","PA",0
"2015-2016","RI",0.0226644210004367
"2015-2016","TX",0
"2015-2016","VA",0
"2015-2016","VT",0
"2015-2016","WA",0.0167898414940036
"2015-2016","WI",0
"2015-2017","AZ",0.000267774484554609
"2015-2017","CA",0.00414393567697497
"2015-2017","CO",0
"2015-2017","CT",0.0358777745595118
"2015-2017","DE",0
"2015-2017","IA",0
"2015-2017","IL",0.000691704868908808
"2015-2017","MA",-0.0085876436780851
"2015-2017","MD",0
"2015-2017","ME",0.0243905101800273
"2015-2017","MI",0.00432134408066142
"2015-2017","MN",0
"2015-2017","MO",0
"2015-2017","NC",0
"2015-2017","NH",0.0199728511666349
"2015-2017","NJ",0
"2015-2017","NM",0.00424217962476368
"2015-2017","NV",0.0158848118903855
"2015-2017","NY",0
"2015-2017","OH",0.00111595846223388
"2015-2017","OR",0
"2015-2017","PA",0
"2015-2017","RI",0.0419411327347499
"2015-2017","TX",0
"2015-2017","VA",0
"2015-2017","VT",0
"2015-2017","WA",0.0227048431730601
"2015-2017","WI",0
"2015-2018","AZ",0.000334285135391326
"2015-2018","CA",0.0117009020225549
"2015-2018","CO",0
"2015-2018","CT",0.0489247183665024
"2015-2018","DE",0
"2015-2018","IA",0
"2015-2018","IL",0
"2015-2018","MA",0.00488751769000457
"2015-2018","MD",0
"2015-2018","ME",0.0278622577854101
"2015-2018","MI",0.00450747810393023
"2015-2018","MN",0
"2015-2018","MO",0
"2015-2018","NC",0
"2015-2018","NH",0.0254421863936344
"2015-2018","NJ",0
"2015-2018","NM",0.00430734932818696
"2015-2018","NV",0.0189862222578817
"2015-2018","NY",0
"2015-2018","OH",0.00134625305634535
"2015-2018","OR",0
"2015-2018","PA",0
"2015-2018","RI",0.0524733497116416
"2015-2018","TX",0
"2015-2018","VA",0
"2015-2018","VT",0
"2015-2018","WA",0.034317165084156
"2015-2018","WI",0
"2015-2019","AZ",0.000856184175973611
"2015-2019","CA",0.0140168184743957
"2015-2019","CO",0
"2015-2019","CT",0.0629943645498739
"2015-2019","DE",0
"2015-2019","IA",0
"2015-2019","IL",0
"2015-2019","MA",0.00544044547815981
"2015-2019","MD",0.0206235219970485
"2015-2019","ME",0.0193316716249497
"2015-2019","MI",0.0116267648053317
"2015-2019","MN",0
"2015-2019","MO",0.017326246694322
"2015-2019","NC",0
"2015-2019","NH",0.0267014961931555
"2015-2019","NJ",0.00201908245359229
"2015-2019","NM",0.00400765529669687
"2015-2019","NV",0.0214701981055362
"2015-2019","NY",0
"2015-2019","OH",0.00173778348976424
"2015-2019","OR",0
"2015-2019","PA",0.000651851715464015
"2015-2019","RI",0.0584321057476994
"2015-2019","TX",0
"2015-2019","VA",0
"2015-2019","VT",0
"2015-2019","WA",0.0344524461481827
"2015-2019","WI",0
"2015-2020","AZ",0.00139044446566992
"2015-2020","CA",0.0183191277313514
"2015-2020","CO",0.00136933507669795
"2015-2020","CT",0.0661869633711999
"2015-2020","DE",0
"2015-2020","IA",0
"2015-2020","IL",0
"2015-2020","MA",0.0194077160470917
"2015-2020","MD",0.0362109598446246
"2015-2020","ME",0.038432539212072
"2015-2020","MI",0.0237988155504601
"2015-2020","MN",0
"2015-2020","MO",0.0203718869733652
"2015-2020","NC",0
"2015-2020","NH",0.0325776311589241
"2015-2020","NJ",0.0132439220407253
"2015-2020","NM",0.0314520247274207
"2015-2020","NV",0.0545288052702393
"2015-2020","NY",0.0139362188740298
"2015-2020","OH",0
"2015-2020","OR",0
"2015-2020","PA",0.00127900810397472
"2015-2020","RI",0.0679535901051586
"2015-2020","TX",0
"2015-2020","VA",0
"2015-2020","VT",0.000766982955906071
"2015-2020","WA",0.0710066857541949
"2015-2020","WI",0
"2015-2021","AZ",0.00173463349742679
"2015-2021","CA",0.0247006742702633
"2015-2021","CO",0.003560367289214
"2015-2021","CT",0.0819805465899199
"2015-2021","DE",0
"2015-2021","IA",0
"2015-2021","IL",0.00477227190400238
"2015-2021","MA",0.0331753341791476
"2015-2021","MD",0.0469086811254524
"2015-2021","ME",0.0616507446879004
"2015-2021","MI",0.0461179956492361
"2015-2021","MN",0
"2015-2021","MO",0.0397056827620693
"2015-2021","NC",0
"2015-2021","NH",0.0397935931913267
"2015-2021","NJ",0.00653028129794946
"2015-2021","NM",0.0533287363793696
"2015-2021","NV",0.0695782002384021
"2015-2021","NY",0.0364222095091043
"2015-2021","OH",0
"2015-2021","OR",0
"2015-2021","PA",0.000650481355628166
"2015-2021","RI",0.080717406045645
"2015-2021","TX",0
"2015-2021","VA",0.00064854259939454
"2015-2021","VT",0.00654289349274729
"2015-2021","WA",0.0722853475904402
"2015-2021","WI",0
"2015-2022","AZ",0.00196463895732581
"2015-2022","CA",0.0337719073624546
"2015-2022","CO",0.00344330404331462
"2015-2022","CT",0.0926646861626739
"2015-2022","DE",0.0308603937500152
"2015-2022","IA",0
"2015-2022","IL",0.0485357587146313
"2015-2022","MA",0.045170758427629
"2015-2022","MD",0.0901648477459735
"2015-2022","ME",0.0902191303532029
"2015-2022","MI",0.0447609015462873
"2015-2022","MN",0
"2015-2022","MO",0.0490259938703192
"2015-2022","NC",0
"2015-2022","NH",0.04483221746511
"2015-2022","NJ",0.0330267098000501
"2015-2022","NM",0.0828909696139005
"2015-2022","NV",0.117612218498656
"2015-2022","NY",0.0432428171241752
"2015-2022","OH",0.013469959539867
"2015-2022","OR",0
"2015-2022","PA",0.0111744578795216
"2015-2022","RI",0.0956189954509862
"2015-2022","TX",0
"2015-2022","VA",0.0436968434078918
"2015-2022","VT",0.0122311413644911
"2015-2022","WA",0.074686350669957
"2015-2022","WI",0
"2015-2023","AZ",0.00226255431585935
"2015-2023","CA",0.0363699444870653
"2015-2023","CO",0.0029165286761712
"2015-2023","CT",0.0973782464877769
"2015-2023","DE",0.0671627583432658
"2015-2023","IA",0
"2015-2023","IL",0.0773361979975103
"2015-2023","MA",0.0535460181194045
"2015-2023","MD",0.148087880093275
"2015-2023","ME",0.103663420435667
"2015-2023","MI",0.0420942458830959
"2015-2023","MN",0
"2015-2023","MO",0.0467605063420076
"2015-2023","NC",0
"2015-2023","NH",0.0478981250611629
"2015-2023","NJ",0.0721544238598082
"2015-2023","NM",0.0935110244837596
"2015-2023","NV",0.124751604192041
"2015-2023","NY",0.0702392826767556
"2015-2023","OH",0.0271567530409656
"2015-2023","OR",0
"2015-2023","PA",0.021849706893381
"2015-2023","RI",0.120882713782626
"2015-2023","TX",0
"2015-2023","VA",0.0958470755145083
"2015-2023","VT",0.0168704044849567
"2015-2023","WA",0.0784098923248841
"2015-2023","WI",0
"2015-2024","AZ",0.00281970934076812
"2015-2024","CA",0.0952724293899086
"2015-2024","CO",0.00305778636987123
"2015-2024","CT",0.118342851639115
"2015-2024","DE",0.0679225164661869
"2015-2024","IA",0
"2015-2024","IL",0.0883272264855921
"2015-2024","MA",0.0634036228363467
"2015-2024","MD",0.167442225389683
"2015-2024","ME",0.133735358801105
"2015-2024","MI",0.0420522827313437
"2015-2024","MN",0
"2015-2024","MO",0.0480691968986931
"2015-2024","NC",0
"2015-2024","NH",0.0584954657710057
"2015-2024","NJ",0.105214872922403
"2015-2024","NM",0.105491597181555
"2015-2024","NV",0.185485859985443
"2015-2024","NY",0.109685604131482
"2015-2024","OH",0.030784637410283
"2015-2024","OR",0
"2015-2024","PA",0.0192965679923066
"2015-2024","RI",0.167154271491612
"2015-2024","TX",0
"2015-2024","VA",0.116913390022153
"2015-2024","VT",0.0266322184212454
"2015-2024","WA",0.0822725702543299
"2015-2024","WI",0
"2016-2017","AZ",0.000264733831823654
"2016-2017","CA",0.0032435186076145
"2016-2017","CO",5.39578483186678e-05
"2016-2017","CT",-0.147282166672894
"2016-2017","DE",0
"2016-2017","IA",0
"2016-2017","IL",0.00067978610524265
"2016-2017","MA",0.194785239915075
"2016-2017","MD",0
"2016-2017","ME",-0.123962528474576
"2016-2017","MI",0.00302026998497614
"2016-2017","MN",0
"2016-2017","MO",0
"2016-2017","NC",0
"2016-2017","NH",-0.156121823017927
"2016-2017","NJ",0
"2016-2017","NM",0.00232448146658439
"2016-2017","NV",0.0114380144436393
"2016-2017","NY",0
"2016-2017","OH",0.00110569851898762
"2016-2017","OR",0
"2016-2017","PA",0
"2016-2017","RI",-0.183777291803038
"2016-2017","TX",0
"2016-2017","VA",0
"2016-2017","VT",0
"2016-2017","WA",0.0024915476477577
"2016-2017","WI",0
"2016-2018","AZ",0.000330489235974189
"2016-2018","CA",0.00424706058198641
"2016-2018","CO",0.00126230709270898
"2016-2018","CT",0.0644049403851212
"2016-2018","DE",0
"2016-2018","IA",0
"2016-2018","IL",0
"2016-2018","MA",-0.0122105652374123
"2016-2018","MD",0
"2016-2018","ME",0.0377640040997986
"2016-2018","MI",0.00307968541468366
"2016-2018","MN",0
"2016-2018","MO",0
"2016-2018","NC",0
"2016-2018","NH",0.0441038385658407
"2016-2018","NJ",0
"2016-2018","NM",0.00247687161557473
"2016-2018","NV",0.0194366753788875
"2016-2018","NY",0
"2016-2018","OH",0.00133387582151032
"2016-2018","OR",0
"2016-2018","PA",0
"2016-2018","RI",0.0682503367417251
"2016-2018","TX",0
"2016-2018","VA",0
"2016-2018","VT",0
"2016-2018","WA",0.00282841543815854
"2016-2018","WI",0
"2016-2019","AZ",0.000402143193443458
"2016-2019","CA",0.00556657928114346
"2016-2019","CO",0.00120917038175059
"2016-2019","CT",0.0710421839713411
"2016-2019","DE",0
"2016-2019","IA",0
"2016-2019","IL",0
"2016-2019","MA",-0.00135905740625971
"2016-2019","MD",0.0153321228910481
"2016-2019","ME",0.0174620978529942
"2016-2019","MI",0.0192235731375144
"2016-2019","MN",0
"2016-2019","MO",0.0221959551123981
"2016-2019","NC",0
"2016-2019","NH",0.0354407757862836
"2016-2019","NJ",0
"2016-2019","NM",0.00206601284304765
"2016-2019","NV",0.0222454312023667
"2016-2019","NY",0
"2016-2019","OH",0.00172180658687524
"2016-2019","OR",0
"2016-2019","PA",0.000552823211921164
"2016-2019","RI",0.0626179269060256
"2016-2019","TX",0
"2016-2019","VA",0
"2016-2019","VT",0
"2016-2019","WA",0.00303801811313806
"2016-2019","WI",0
"2016-2020","AZ",0.000729255193536304
"2016-2020","CA",0.00913874334695496
"2016-2020","CO",0.00437483738058861
"2016-2020","CT",0.0654641124933228
"2016-2020","DE",0
"2016-2020","IA",0
"2016-2020","IL",0
"2016-2020","MA",0.0190013530244295
"2016-2020","MD",0.03510465064668
"2016-2020","ME",0.0391113527537928
"2016-2020","MI",0.0189848287189314
"2016-2020","MN",0
"2016-2020","MO",0.021792775898707
"2016-2020","NC",0
"2016-2020","NH",0.037298459838567
"2016-2020","NJ",0.00345930567173106
"2016-2020","NM",0.0284624085707935
"2016-2020","NV",0.0344811390305514
"2016-2020","NY",0.0188984449935963
"2016-2020","OH",0
"2016-2020","OR",0
"2016-2020","PA",0.00126205600814302
"2016-2020","RI",0.0660958422347492
"2016-2020","TX",0
"2016-2020","VA",0
"2016-2020","VT",0.000767630722783604
"2016-2020","WA",0.0230422221821206
"2016-2020","WI",0
"2016-2021","AZ",0.00144161173543826
"2016-2021","CA",0.0134813970485951
"2016-2021","CO",0.00442312025737291
"2016-2021","CT",0.0797023722730456
"2016-2021","DE",0
"2016-2021","IA",0
"2016-2021","IL",0.00413351820132444
"2016-2021","MA",0.0345532818906303
"2016-2021","MD",0.0458769649024481
"2016-2021","ME",0.0637643613474526
"2016-2021","MI",0.0297928929520347
"2016-2021","MN",0
"2016-2021","MO",0.0418363045507002
"2016-2021","NC",0
"2016-2021","NH",0.0431416997714708
"2016-2021","NJ",0.00417555239606716
"2016-2021","NM",0.0313634204700292
"2016-2021","NV",0.0403113490036683
"2016-2021","NY",0.0366958921451701
"2016-2021","OH",0
"2016-2021","OR",0
"2016-2021","PA",0.000629133675934804
"2016-2021","RI",0.0768883718504625
"2016-2021","TX",0
"2016-2021","VA",0.000646973699345297
"2016-2021","VT",0.00654841939088517
"2016-2021","WA",0.0314451624383042
"2016-2021","WI",0
"2016-2022","AZ",0.00166900542024249
"2016-2022","CA",0.0186145228640454
"2016-2022","CO",0.00430752236454276
"2016-2022","CT",0.0893132598689308
"2016-2022","DE",0
"2016-2022","IA",0
"2016-2022","IL",0.023100605999505
"2016-2022","MA",0.0476670514868859
"2016-2022","MD",0.0277494599269307
"2016-2022","ME",0.0940094407705684
"2016-2022","MI",0.0288982065934495
"2016-2022","MN",0
"2016-2022","MO",0.0484606874979458
"2016-2022","NC",0
"2016-2022","NH",0.047329853058882
"2016-2022","NJ",0.00022408150742922
"2016-2022","NM",0.0737718063640748
"2016-2022","NV",0.0785179467159219
"2016-2022","NY",0.0435677509582551
"2016-2022","OH",0
"2016-2022","OR",0
"2016-2022","PA",0
"2016-2022","RI",0.0912583169119742
"2016-2022","TX",0
"2016-2022","VA",0.00085428326640507
"2016-2022","VT",0.0122414713570801
"2016-2022","WA",0.0434883350136259
"2016-2022","WI",0
"2016-2023","AZ",0.00196353786815247
"2016-2023","CA",0.0280803632798338
"2016-2023","CO",0.00378734097055553
"2016-2023","CT",0.0931007976122166
"2016-2023","DE",0.048667687402552
"2016-2023","IA",0
"2016-2023","IL",0.0730713863459202
"2016-2023","MA",0.057029736298618
"2016-2023","MD",0.114761609079576
"2016-2023","ME",0.10724032178876
"2016-2023","MI",0.0271885956491529
"2016-2023","MN",0
"2016-2023","MO",0.0484730274175184
"2016-2023","NC",0
"2016-2023","NH",0.0497553872049858
"2016-2023","NJ",0.0512809428070567
"2016-2023","NM",0.0873746258986776
"2016-2023","NV",0.105379291103558
"2016-2023","NY",0.0707670725142595
"2016-2023","OH",0.0234321574563762
"2016-2023","OR",0
"2016-2023","PA",0.0156360401070337
"2016-2023","RI",0.11722861591819
"2016-2023","TX",0
"2016-2023","VA",0.079946074355639
"2016-2023","VT",0.0168846526363032
"2016-2023","WA",0.0474801979665573
"2016-2023","WI",0
"2016-2024","AZ",0.00251436624490852
"2016-2024","CA",0.0351761456476669
"2016-2024","CO",0.00392683045431549
"2016-2024","CT",0.113989752527885
"2016-2024","DE",0.0565919809011865
"2016-2024","IA",0
"2016-2024","IL",0.0899827851799405
"2016-2024","MA",0.0674307891998401
"2016-2024","MD",0.146031499953491
"2016-2024","ME",0.138196914271143
"2016-2024","MI",0.0272142566060144
"2016-2024","MN",0
"2016-2024","MO",0.0498297592748418
"2016-2024","NC",0
"2016-2024","NH",0.060151206114749
"2016-2024","NJ",0.0926758263066484
"2016-2024","NM",0.0993832817358302
"2016-2024","NV",0.174536803283339
"2016-2024","NY",0.110509800293158
"2016-2024","OH",0.0304409896208374
"2016-2024","OR",0
"2016-2024","PA",0.015474105337992
"2016-2024","RI",0.164645481805319
"2016-2024","TX",0
"2016-2024","VA",0.112052942696676
"2016-2024","VT",0.0266547110579274
"2016-2024","WA",0.0489722857346492
"2016-2024","WI",0
"2017-2018","AZ",0.00033300714463241
"2017-2018","CA",0.000882582059205701
"2017-2018","CO",0.000629744352864315
"2017-2018","CT",0.052305451054088
"2017-2018","DE",0
"2017-2018","IA",0
"2017-2018","IL",0
"2017-2018","MA",0.000783328318463909
"2017-2018","MD",0
"2017-2018","ME",0.0228419733387809
"2017-2018","MI",0.00250265230525654
"2017-2018","MN",0
"2017-2018","MO",0
"2017-2018","NC",0
"2017-2018","NH",0.0241395954389151
"2017-2018","NJ",0
"2017-2018","NM",0.0025644966028069
"2017-2018","NV",0.00142901265231894
"2017-2018","NY",0
"2017-2018","OH",0.00136984118245753
"2017-2018","OR",0
"2017-2018","PA",0
"2017-2018","RI",0.0493286176142546
"2017-2018","TX",0
"2017-2018","VA",0
"2017-2018","VT",0
"2017-2018","WA",0.0028720657981107
"2017-2018","WI",0
"2017-2019","AZ",0.000405207014344103
"2017-2019","CA",0.00330788395019212
"2017-2019","CO",0.00105027912909141
"2017-2019","CT",0.0688145096048969
"2017-2019","DE",0
"2017-2019","IA",0
"2017-2019","IL",0
"2017-2019","MA",0.00318608648523862
"2017-2019","MD",0.0101459713173681
"2017-2019","ME",0.00505020218990416
"2017-2019","MI",0.0105338785916404
"2017-2019","MN",0
"2017-2019","MO",0.021809699869682
"2017-2019","NC",0
"2017-2019","NH",0.0227987545131717
"2017-2019","NJ",0
"2017-2019","NM",0.00208769528384346
"2017-2019","NV",0.00488854618770484
"2017-2019","NY",0.00115341397729032
"2017-2019","OH",0.00176823174458456
"2017-2019","OR",0
"2017-2019","PA",0.000556941898077923
"2017-2019","RI",0.0528952312077735
"2017-2019","TX",0
"2017-2019","VA",0
"2017-2019","VT",0
"2017-2019","WA",0.00303363725382164
"2017-2019","WI",0
"2017-2020","AZ",0.0004665022522269
"2017-2020","CA",0.00827250917914665
"2017-2020","CO",0.00421432092169084
"2017-2020","CT",0.0625764289342887
"2017-2020","DE",0
"2017-2020","IA",0
"2017-2020","IL",0
"2017-2020","MA",0.0217659414450146
"2017-2020","MD",0.0344127687829533
"2017-2020","ME",0.0335573257459725
"2017-2020","MI",0.0219462909100603
"2017-2020","MN",0
"2017-2020","MO",0.0211851080869948
"2017-2020","NC",0
"2017-2020","NH",0.0279678811030108
"2017-2020","NJ",0
"2017-2020","NM",0.0296403011892784
"2017-2020","NV",0.0157675483248726
"2017-2020","NY",0.0249349766127613
"2017-2020","OH",0
"2017-2020","OR",0
"2017-2020","PA",0.00128104223494981
"2017-2020","RI",0.0591366551362214
"2017-2020","TX",0
"2017-2020","VA",0
"2017-2020","VT",0
"2017-2020","WA",0.0197300039852886
"2017-2020","WI",0
"2017-2021","AZ",0.000656943576627037
"2017-2021","CA",0.0113806558342489
"2017-2021","CO",0.00426257901076608
"2017-2021","CT",0.0775261906004341
"2017-2021","DE",0
"2017-2021","IA",0
"2017-2021","IL",0.00353451535955505
"2017-2021","MA",0.0367271699874228
"2017-2021","MD",0.0455574620878258
"2017-2021","ME",0.0610499705281219
"2017-2021","MI",0.0388526725020829
"2017-2021","MN",0
"2017-2021","MO",0.0417939756519559
"2017-2021","NC",0
"2017-2021","NH",0.0346753488143968
"2017-2021","NJ",0.00312178749799171
"2017-2021","NM",0.0318463384648762
"2017-2021","NV",0.025620616693686
"2017-2021","NY",0.0374072234595613
"2017-2021","OH",0
"2017-2021","OR",0
"2017-2021","PA",0.000637776554183832
"2017-2021","RI",0.0704881129775128
"2017-2021","TX",0
"2017-2021","VA",0.000651329792489773
"2017-2021","VT",0.00546929816967725
"2017-2021","WA",0.027677899371398
"2017-2021","WI",0
"2017-2022","AZ",0.000760918471516375
"2017-2022","CA",0.0157798875356262
"2017-2022","CO",0.00414704046417059
"2017-2022","CT",0.0872020753672873
"2017-2022","DE",0
"2017-2022","IA",0
"2017-2022","IL",0.0237495448994075
"2017-2022","MA",0.0496957911055203
"2017-2022","MD",0.0268033226765553
"2017-2022","ME",0.0936318516166325
"2017-2022","MI",0.0375896404099936
"2017-2022","MN",0
"2017-2022","MO",0.0432269779612644
"2017-2022","NC",0
"2017-2022","NH",0.0392200127464861
"2017-2022","NJ",0
"2017-2022","NM",0.0706313073717456
"2017-2022","NV",0.0950106054686445
"2017-2022","NY",0.0444122897810641
"2017-2022","OH",0
"2017-2022","OR",0
"2017-2022","PA",0
"2017-2022","RI",0.0856200974441649
"2017-2022","TX",0
"2017-2022","VA",0.000860035181025391
"2017-2022","VT",0.0124508984276241
"2017-2022","WA",0.0376724622866891
"2017-2022","WI",0
"2017-2023","AZ",0.000908801636838616
"2017-2023","CA",0.0194903199617563
"2017-2023","CO",0.00362712612355537
"2017-2023","CT",0.090761006681258
"2017-2023","DE",0.0183436302430565
"2017-2023","IA",0
"2017-2023","IL",0.049249205457022
"2017-2023","MA",0.0591572755830515
"2017-2023","MD",0.067887021542329
"2017-2023","ME",0.107243318084275
"2017-2023","MI",0.0350126916810349
"2017-2023","MN",0
"2017-2023","MO",0.0402199244039664
"2017-2023","NC",0
"2017-2023","NH",0.0419151385860556
"2017-2023","NJ",0.0197700010764472
"2017-2023","NM",0.0877483399960643
"2017-2023","NV",0.0968749091011767
